date,AAPL,MSFT,AMZN,NVDA,GOOGL,TSLA,META
2015-01-01,0.16394767684878492,-1.6630626946748264,-3.441615614900181,-2.343311259683808,0.06625863170188391,0.3408999970837544,-1.1980007798741437
2015-02-01,0.7020127572435761,-2.061144345050805,-2.9657725490552815,-2.067580111175395,0.26715263840638287,0.24386790135859887,-1.0962268269188293
2015-03-01,0.8562613720888096,-2.234387175055613,-2.8041997384082533,-1.862986840233689,0.46666287417673147,0.15807795036269406,-0.8876632373043291
2015-04-01,0.9566035421986728,-1.960103910663178,-2.6294362572979733,-1.86875990582363,0.20226100643790718,0.32165836977617085,-0.8337561152925758
2015-05-01,0.9540808277031667,-1.285766367984314,-2.340887048262148,-2.1127580622159208,-0.09126983831027466,0.5904186725892137,-1.0201112723687604
2015-06-01,0.9924568443679602,-1.394755246786946,-2.2017143180798526,-1.9660709238938254,0.026757129949975655,0.8062453996883171,-0.7370469928952618
2015-07-01,0.817229242571356,-1.4974458467737393,-1.7261202605383634,-2.2302577390651384,0.9205528638793463,0.8794438093488868,-0.35227240656409425
2015-08-01,0.15696157353716897,-1.5876296048791512,-1.455123376330369,-1.8437573456617962,1.3827122054174183,0.6416971683513614,-0.38654163321416773
2015-09-01,0.3100228021639908,-1.7153061665244973,-1.3102840306011618,-1.6353434617105074,1.2425992622722868,0.8247651959416671,-0.29369018853210727
2015-10-01,0.05266137174879087,-1.1374661663601204,-1.109401291093304,-1.466961019929213,1.409832255411689,0.35476315938529773,-0.21758367726252073
2015-11-01,-0.12377043646112829,-0.7816726226787659,-0.6948931901514237,-1.3824994998311086,1.7573129536060825,0.17670083518338336,-0.025224840623785234
2015-12-01,-0.5053085339361588,-0.5733938524759011,-0.6546229202363678,-1.180115318256863,1.7604514622773462,0.26112713166470447,-0.07146648375561178
2016-01-01,-0.8916162547144467,-0.4664886799803744,-0.959820586718809,-1.2072014271878533,1.7524704265903681,0.18199293785016457,-0.05473139762871941
2016-02-01,-0.9623353385476741,-0.5785960064273569,-1.384210627949158,-1.0911301938193145,1.5597416187673558,-0.15749083257285593,0.16727258526191285
2016-03-01,-0.8255677456628789,-0.798839089368665,-1.29670057437831,-1.0689151531083603,1.39147520977964,0.1643086672429857,0.18821705228662913
2016-04-01,-0.9490801052105514,-1.00812021819494,-1.0253398104423321,-0.9908069568647294,1.1810480646036796,0.3455151655980395,0.18711996792583976
2016-05-01,-1.5933790802728267,-1.334667166603686,-0.48916188544256367,-0.5061169058649299,0.9226709197000131,0.07739611527806037,0.42265765880587797
2016-06-01,-1.5160139309822245,-1.39639018881146,-0.40310393240880416,-0.1618148912963854,0.6787856081169173,0.02158994172572732,0.27987371716576576
2016-07-01,-1.5927820346152306,-1.2107090749356517,-0.38439634304455383,-0.030230701668770715,0.6836080906060045,-0.012572236742811424,0.2861033813363055
2016-08-01,-1.4485683789161714,-1.1706481867232736,-0.4719698508786919,0.043314443533230995,0.8516906774107816,-0.20399753672309082,0.30167405511080214
2016-09-01,-1.367461301556845,-1.3602845332652602,-0.37958894032160406,0.06952138388311217,0.7176927766563451,-0.4824935024319887,0.37106871338730313
2016-10-01,-1.2833816071672528,-1.4015429022600905,-0.36511980830994406,0.0989869805466401,0.5869491556508715,-0.6263402669035215,0.3541206408615575
2016-11-01,-1.6202443861122968,-1.2989046234472057,-0.686518339636849,0.8022255560162627,0.14327523791545715,-0.7320366502882254,-0.015224430815114626
2016-12-01,-1.5110854198161805,-1.1838312328921434,-0.7832854854838848,1.1486204005430805,0.16580981903963032,-0.6894849760452163,-0.14326571298571003
2017-01-01,-1.3584568639390842,-1.156251011769687,-0.5536330084990343,1.181319329723516,0.3318806838909518,-0.37300848131444697,0.1301406754616933
2017-02-01,-0.7546983508084447,-1.1757317197968264,-0.5047731772848292,1.185080106827407,0.25310951980867247,-0.23632974768886822,0.27399994186481486
2017-03-01,-0.4535169698113898,-1.1412885914632271,-0.40374687528664566,0.976083328910952,0.32093737320539145,-0.28301360396687586,0.43599641137819334
2017-04-01,-0.46625633400500016,-1.1002934278555536,-0.24857241077285494,0.7701897179661564,0.3142077080513909,0.019260393086015532,0.5018500152781717
2017-05-01,-0.4522436791326988,-1.3582099437913675,-0.20420083382894702,1.0619634044149417,0.7324513567422185,-0.13086354214530868,0.49183207172907945
2017-06-01,-0.8942930586690505,-1.4227513318929887,-0.20278548171755578,1.3398300845375908,0.5349692068265564,0.0451250498050156,0.4467920077487317
2017-07-01,-1.0121122380049856,-1.408013587736657,-0.22000378832756634,1.4343040004456058,0.33224459227827624,-0.26505048664100767,0.6411880242822959
2017-08-01,-0.6418835175766127,-1.4069282446602307,-0.41536285556662134,1.4333928305035448,-0.042449203493087846,-0.11609977199652007,0.7722387716173862
2017-09-01,-0.7314066929615974,-1.3088945599735955,-0.44934933037191044,1.5721140839510999,-0.019602743796071423,-0.14836271133511256,0.8148269071317927
2017-10-01,-0.9177918882129973,-1.0643268785561102,-0.33847264958967826,1.700580612790538,0.2698702966141503,-0.31952534297764834,0.8063844296146684
2017-11-01,-0.5650606739598992,-0.9028458416074582,0.0021989431294818693,1.7554131922839813,0.31422801433369524,-0.6708301981069947,0.8195691262127952
2017-12-01,-0.5391170578505756,-0.6382080063480867,0.1600731153395518,1.5389521331626588,0.4224627699024312,-0.568679922593056,0.7972666728366804
2018-01-01,-0.7657143749034028,-0.5903404699071094,0.44674519095284054,1.6713686667686456,0.7239786695933672,-0.646392460312457,0.7919190950739285
2018-02-01,-1.1574299890714908,-0.5681832444710693,0.8059332255694551,1.761298189354112,0.2969999541260794,-0.6863167462554087,0.7065817963739183
2018-03-01,-1.0079761349460368,-0.6010772867986628,1.0083109997246673,1.6638695454192172,0.09611616911113889,-0.9072945272747086,0.4619256496930826
2018-04-01,-1.106152194759209,-0.3976307978005949,0.9660569417847229,1.5655621518555847,-0.22859382140256526,-0.966012141269588,0.31205793221408856
2018-05-01,-0.6779130669303329,-0.4203814940913018,1.1236818715959385,1.5912408106639757,-0.1921921185354081,-1.1430997614622376,0.6104423032616073
2018-06-01,-0.7762262802004062,-0.32568723659819937,1.304032463329588,1.5200329537990493,0.16687178882534595,-0.9522994949236174,0.8087713314286218
2018-07-01,-0.8359733058707188,-0.11726057129426422,1.4620356088214235,1.3071187847215517,0.4307860522165442,-1.1565306494252583,0.8220680258161407
2018-08-01,-0.353996169709728,-0.19432456775209886,1.5640014377210945,1.1269622533976371,0.3294127979732418,-1.2040211460625752,0.19157417652963066
