date,equal_linear,pca_linear,equal_geometric,composite_index
2015-01-01,-0.44518515686288557,0.5554796768878493,-1.4664716166987333,-0.44518515686288557
2015-02-01,-0.3650163950309335,-0.043627745598492404,-0.2866528530892794,-0.3650163950309335
2015-03-01,-0.2493099737234512,-0.19394473631431453,-0.1620189970179095,-0.2493099737234512
2015-04-01,-0.3440664299514902,-0.20755856065382638,-0.1493950887558759,-0.3440664299514902
2015-05-01,-0.4784697921205227,-0.1455065238909182,-0.08317779574650024,-0.4784697921205227
2015-06-01,-0.18531812621075044,0.12131544776363411,0.08898001539964706,-0.18531812621075044
2015-07-01,0.8075562311400298,0.8439505957891107,0.8995774044567385,0.8075562311400298
2015-08-01,1.1795233653826058,1.138318802962058,1.500204488403926,1.1795233653826058
2015-09-01,1.2023566496443805,1.0930719003099347,1.4839367869770523,1.2023566496443805
2015-10-01,0.9904614337587279,0.8113245578713464,1.4315454322693104,0.9904614337587279
2015-11-01,1.2105935522932898,0.8693370694511813,1.589984991465595,1.2105935522932898
2015-12-01,1.2596536827618763,1.1311922167424926,1.6597767002521175,1.2596536827618763
2016-01-01,1.2487160898493086,1.4550102614131986,1.6459366841696133,1.2487160898493086
2016-02-01,0.9665856304603518,1.3380958326555963,1.3954978230287456,0.9665856304603518
2016-03-01,1.1066784722116283,1.497939267352009,1.5370693047157344,1.1066784722116283
2016-04-01,1.32955693034222,1.7588843501725624,1.7540259472281128,1.32955693034222
2016-05-01,1.6725035054804085,2.134316215890414,1.9824952876091542,1.6725035054804085
2016-06-01,1.3729690452865746,1.7246143596298176,1.73261986801513,1.3729690452865746
2016-07-01,1.2766895725839478,1.6623696725776689,1.6261017024545166,1.2766895725839478
2016-08-01,1.1141091464562602,1.334305254881361,1.4825589437804552,1.1141091464562602
2016-09-01,1.0315882079546064,1.0941590701489743,1.403824676434163,1.0315882079546064
2016-10-01,0.877659575218812,0.867067588086564,1.2828552938466462,0.877659575218812
2016-11-01,0.18873230023238824,0.43257567549232523,0.5693154184684858,0.18873230023238824
2016-12-01,-0.11719571192962981,0.05424427000556285,0.1540545601119936,-0.11719571192962981
2017-01-01,0.21076175168448477,0.31714449645778364,0.32444464355927977,0.21076175168448477
2017-02-01,0.044598847163983074,-0.0940565889450079,0.21357009222784618,0.044598847163983074
2017-03-01,0.09119214996784573,-0.21667979061488807,0.37998275028148665,0.09119214996784573
2017-04-01,0.39086645175475476,0.1873477576614708,0.692443757824175,0.39086645175475476
