date,ticker,cost_of_revenue,gross_profit,net_income,operating_income,rd_expense,revenue,stockholders_equity,total_assets
2015-12-31,TSLA,995816000.0,218564000.0,-320397000.0,-260333000.0,190243000.0,1214379000.0,1088944000.0,8092460000.0
2016-01-31,NVDA,610000000.0,791000000.0,207000000.0,250000000.0,343000000.0,1401000000.0,4469000000.0,7370000000.0
2016-03-31,AAPL,30636000000.0,19921000000.0,10516000000.0,13987000000.0,2511000000.0,50557000000.0,130457000000.0,305277000000.0
2016-03-31,AMZN,18866000000.0,10262000000.0,513000000.0,1071000000.0,,29128000000.0,14756000000.0,61128000000.0
2016-03-31,GOOGL,7648000000.0,12609000000.0,4207000000.0,5342000000.0,3367000000.0,20257000000.0,123569000000.0,149747000000.0
2016-03-31,META,838000000.0,4544000000.0,1510000000.0,2009000000.0,1343000000.0,5382000000.0,47150000000.0,52075000000.0
2016-03-31,MSFT,7722000000.0,12809000000.0,3756000000.0,5283000000.0,2980000000.0,20531000000.0,74806000000.0,181869000000.0
2016-03-31,TSLA,894580000.0,252468000.0,-282267000.0,-248224000.0,182482000.0,1147048000.0,970365000.0,9191702000.0
2016-04-30,NVDA,554000000.0,751000000.0,196000000.0,245000000.0,346000000.0,1305000000.0,4196000000.0,7108000000.0
2016-06-30,AAPL,26252000000.0,16106000000.0,7796000000.0,10105000000.0,2560000000.0,42358000000.0,126541000000.0,305602000000.0
2016-06-30,AMZN,19180000000.0,11224000000.0,857000000.0,1285000000.0,,30404000000.0,16538000000.0,65076000000.0
2016-06-30,GOOGL,8130000000.0,13370000000.0,4877000000.0,5968000000.0,3363000000.0,21500000000.0,127879000000.0,154292000000.0
2016-06-30,META,916000000.0,5520000000.0,2055000000.0,2746000000.0,1463000000.0,6436000000.0,50383000000.0,55739000000.0
2016-06-30,MSFT,7979000000.0,12635000000.0,3122000000.0,3080000000.0,3146000000.0,20614000000.0,71997000000.0,193694000000.0
2016-06-30,TSLA,995241000.0,274776000.0,-293188000.0,-238040000.0,191664000.0,1270017000.0,2520294000.0,11868952000.0
2016-07-31,NVDA,602000000.0,826000000.0,253000000.0,317000000.0,350000000.0,1428000000.0,4480000000.0,7461000000.0
2016-09-30,AAPL,29039000000.0,17813000000.0,9014000000.0,11761000000.0,2570000000.0,46852000000.0,128249000000.0,321686000000.0
2016-09-30,AMZN,21260000000.0,11454000000.0,252000000.0,575000000.0,,32714000000.0,17782000000.0,70897000000.0
2016-09-30,GOOGL,8699000000.0,13752000000.0,5061000000.0,5767000000.0,3596000000.0,22451000000.0,134103000000.0,159948000000.0
2016-09-30,META,987000000.0,6024000000.0,2379000000.0,3122000000.0,1539000000.0,7011000000.0,54115000000.0,59674000000.0
2016-09-30,MSFT,7844000000.0,12609000000.0,4690000000.0,5225000000.0,3106000000.0,20453000000.0,70372000000.0,212524000000.0
2016-09-30,TSLA,1661701000.0,636735000.0,21878000.0,85622000.0,214302000.0,2298436000.0,2680488000.0,12592397000.0
2016-10-31,NVDA,821000000.0,1183000000.0,542000000.0,639000000.0,373000000.0,2004000000.0,5324000000.0,9612000000.0
2016-12-31,AAPL,48175000000.0,30176000000.0,17891000000.0,23359000000.0,2871000000.0,78351000000.0,132390000000.0,331141000000.0
2016-12-31,AMZN,28959000000.0,14782000000.0,749000000.0,1255000000.0,,43741000000.0,19285000000.0,83402000000.0
2016-12-31,GOOGL,10661000000.0,15403000000.0,5333000000.0,6639000000.0,3622000000.0,26064000000.0,139036000000.0,167497000000.0
2016-12-31,META,1048000000.0,7761000000.0,4273000000.0,4550000000.0,1574000000.0,8809000000.0,59194000000.0,64961000000.0
2016-12-31,MSFT,9901000000.0,14189000000.0,5200000000.0,6177000000.0,3062000000.0,24090000000.0,68809000000.0,224610000000.0
2016-12-31,TSLA,1849353000.0,435278000.0,-121337000.0,-266698000.0,245960000.0,2284631000.0,4752911000.0,22664076000.0
2017-01-31,NVDA,870000000.0,1303000000.0,655000000.0,733000000.0,394000000.0,2173000000.0,5762000000.0,9841000000.0
2017-03-31,AAPL,32305000000.0,20591000000.0,11029000000.0,14097000000.0,2776000000.0,52896000000.0,134082000000.0,334532000000.0
2017-03-31,AMZN,22440000000.0,13274000000.0,724000000.0,1005000000.0,,35714000000.0,21674000000.0,80969000000.0
2017-03-31,GOOGL,9795000000.0,14955000000.0,5426000000.0,6568000000.0,3942000000.0,24750000000.0,144949000000.0,172756000000.0
2017-03-31,META,1159000000.0,6873000000.0,3064000000.0,3327000000.0,1834000000.0,8032000000.0,62188000000.0,68714000000.0
2017-03-31,MSFT,8060000000.0,14030000000.0,4801000000.0,5594000000.0,3355000000.0,22090000000.0,69729000000.0,225017000000.0
2017-03-31,TSLA,2028324000.0,667946000.0,-330277000.0,-257549000.0,322040000.0,2696270000.0,4987719000.0,25053726000.0
2017-04-30,NVDA,787000000.0,1150000000.0,507000000.0,554000000.0,411000000.0,1937000000.0,6132000000.0,9410000000.0
2017-06-30,AAPL,27920000000.0,17488000000.0,8717000000.0,10768000000.0,2937000000.0,45408000000.0,132425000000.0,345173000000.0
2017-06-30,AMZN,23451000000.0,14504000000.0,197000000.0,628000000.0,,37955000000.0,23214000000.0,87781000000.0
2017-06-30,GOOGL,10373000000.0,15637000000.0,3524000000.0,4132000000.0,4172000000.0,26010000000.0,148286000000.0,178621000000.0
2017-06-30,META,1237000000.0,8084000000.0,3894000000.0,4401000000.0,1919000000.0,9321000000.0,66481000000.0,73843000000.0
2017-06-30,MSFT,8456000000.0,14861000000.0,6513000000.0,5330000000.0,3514000000.0,23317000000.0,72394000000.0,241086000000.0
2017-06-30,TSLA,2122942000.0,666615000.0,-336397000.0,-240916000.0,369774000.0,2789557000.0,5105752000.0,26043705000.0
2017-07-31,NVDA,928000000.0,1302000000.0,583000000.0,688000000.0,416000000.0,2230000000.0,5973000000.0,9402000000.0
2017-09-30,AAPL,32648000000.0,19931000000.0,10714000000.0,13120000000.0,2997000000.0,52579000000.0,134047000000.0,375319000000.0
2017-09-30,AMZN,27549000000.0,16195000000.0,256000000.0,347000000.0,,43744000000.0,24658000000.0,115267000000.0
