date,ticker,measure,value
2021-09-30,AAPL,operating_income,23786000000.0
2021-12-31,AAPL,operating_income,41488000000.0
2022-03-31,AAPL,operating_income,29979000000.0
2022-06-30,AAPL,operating_income,23076000000.0
2022-09-30,AAPL,operating_income,24894000000.0
2022-12-31,AAPL,operating_income,36016000000.0
2023-03-31,AAPL,operating_income,28318000000.0
2023-06-30,AAPL,operating_income,22998000000.0
2023-09-30,AAPL,operating_income,26969000000.0
2023-12-31,AAPL,operating_income,40373000000.0
2024-03-31,AAPL,operating_income,27900000000.0
2024-06-30,AAPL,operating_income,25352000000.0
2024-09-30,AAPL,operating_income,29591000000.0
2024-12-31,AAPL,operating_income,42832000000.0
2025-03-31,AAPL,operating_income,29589000000.0
2025-06-30,AAPL,operating_income,28202000000.0
2025-09-30,AAPL,operating_income,32427000000.0
2025-12-31,AAPL,operating_income,50852000000.0
2014-12-31,AAPL,rd_expense,1895000000.0
2015-03-31,AAPL,rd_expense,1918000000.0
2015-06-30,AAPL,rd_expense,2034000000.0
2015-09-30,AAPL,rd_expense,2220000000.0
2015-12-31,AAPL,rd_expense,2404000000.0
2016-03-31,AAPL,rd_expense,2511000000.0
2016-06-30,AAPL,rd_expense,2560000000.0
2016-09-30,AAPL,rd_expense,2570000000.0
2016-12-31,AAPL,rd_expense,2871000000.0
2017-03-31,AAPL,rd_expense,2776000000.0
2017-06-30,AAPL,rd_expense,2937000000.0
2017-09-30,AAPL,rd_expense,2997000000.0
2017-12-31,AAPL,rd_expense,3407000000.0
2018-03-31,AAPL,rd_expense,3378000000.0
2018-06-30,AAPL,rd_expense,3701000000.0
2018-09-30,AAPL,rd_expense,3750000000.0
2018-12-31,AAPL,rd_expense,3902000000.0
2019-03-31,AAPL,rd_expense,3948000000.0
2019-06-30,AAPL,rd_expense,4257000000.0
2019-09-30,AAPL,rd_expense,4110000000.0
2019-12-31,AAPL,rd_expense,4451000000.0
2020-03-31,AAPL,rd_expense,4565000000.0
2020-06-30,AAPL,rd_expense,4758000000.0
2020-09-30,AAPL,rd_expense,4978000000.0
2020-12-31,AAPL,rd_expense,5163000000.0
2021-03-31,AAPL,rd_expense,5262000000.0
2021-06-30,AAPL,rd_expense,5717000000.0
2021-09-30,AAPL,rd_expense,5772000000.0
2021-12-31,AAPL,rd_expense,6306000000.0
2022-03-31,AAPL,rd_expense,6387000000.0
2022-06-30,AAPL,rd_expense,6797000000.0
2022-09-30,AAPL,rd_expense,6761000000.0
2022-12-31,AAPL,rd_expense,7709000000.0
2023-03-31,AAPL,rd_expense,7457000000.0
2023-06-30,AAPL,rd_expense,7442000000.0
2023-09-30,AAPL,rd_expense,7307000000.0
2023-12-31,AAPL,rd_expense,7696000000.0
2024-03-31,AAPL,rd_expense,7903000000.0
2024-06-30,AAPL,rd_expense,8006000000.0
2024-09-30,AAPL,rd_expense,7765000000.0
2024-12-31,AAPL,rd_expense,8268000000.0
2025-03-31,AAPL,rd_expense,8550000000.0
2025-06-30,AAPL,rd_expense,8866000000.0
2025-09-30,AAPL,rd_expense,8866000000.0
2025-12-31,AAPL,rd_expense,10887000000.0
2014-09-30,AAPL,revenue,42123000000.0
2014-12-31,AAPL,revenue,74599000000.0
2015-03-31,AAPL,revenue,58010000000.0
2015-06-30,AAPL,revenue,49605000000.0
2015-09-30,AAPL,revenue,51501000000.0
2015-12-31,AAPL,revenue,75872000000.0
2016-03-31,AAPL,revenue,50557000000.0
2016-06-30,AAPL,revenue,42358000000.0
2016-09-30,AAPL,revenue,46852000000.0
2016-12-31,AAPL,revenue,78351000000.0
2017-03-31,AAPL,revenue,52896000000.0
2017-06-30,AAPL,revenue,45408000000.0
